Aal ALE 
Aengste anxieties 
Aepfel APPLES 
Aequator equator 
Aerger chagrin 
Aermel sleeve 
Aerzte physicians 
Aeste boughs 
Aeusserung utterance 
Aeusserungen utterances 
Affe ape 
Affen apes 
Agent AGENT 
Agentur agency 
Agenturen agencies 
Ahorn maple 
Akkord chord 
Akkorde chords 
Aktentasche briefcase 
Aktion action 
Aktionaer shareholder 
Aktionaere shareholders 
Aktionen actions 
Aktivierung activation 
Aktivitaet activity 
Aktivitaeten activities 
Aktualisierung updating 
Aktualitaet actuality 
Akustik acoustic 
Akzent accent 
Alarm Alarm 
Algorithmen algorithms 
Algorithmus algorithm 
Alkohol booze 
Allgemeinheit universality 
Allgemeinheiten universalities 
Allmacht omnipotence 
Alltags- workaday 
Alphabet ALPHABET 
Alptraeume nightmares 
Alptraum nightmare 
Alter age 
Alternativen Alternatives 
Amateur amateur 
Amateure amateurs 
Ameise ant 
Ameisen ants 
Amerika America 
Amethyst amethyst 
Amortisation amortization 
Amplitude amplitude 
Amsel blackbird 
Amseln blackbirds 
Analysator Analyzer 
Ananas PINEAPPLE 
Andenken memento 
Andeutung inkling 
Andeutungen inklings 
Andrang boom 
Aneignung annexation 
Aneignungen annexations 
Anerkennungen recognitions 
Anfaenge commencements 
Anfaenger beginner 
Anfang Init 
Anfangs- initial 
Anforderung requirement 
Anforderungen Requirements 
Anfrage enquiry 
Anfuehrungen Quotations 
Anfuehrungsstrich parenthesis 
Anfuehrungsstriche Parentheses 
Angebot offer 
Angebote offerings 
Angelegenheit affair 
Angemessenheit adequacy 
Angestellter employee 
Angestelter employee 
Angreifer aggressor 
Angriff aggression 
Angriffe aggressions 
Angst anxiety 
Anhaenge APPENDICES 
Anhaenger pendant 
Anhaeufung accumulation 
Anhaftung adherence 
Anhang appendage 
Anker Anchor 
Anklage accusation 
Anklagen indictments 
Ankuendigung advertisement 
Ankuendigungen advertisements 
Ankunft arrival 
Anlage plant 
Anlegeplaetze wharves 
Anleitung NAVIGATING 
Anleitungen instructions 
Anmeldung announcement 
Anmerkung memo 
Anmut comeliness 
Annahme acceptance 
Annahmen assumptions 
Annehmlichkeit amenity 
Annehmlichkeiten GOODIES 
Anordnung adjustment 
Anordnungen dispositions 
Anpassung accomodation 
Anpassungen accomodations 
Anregung animation 
Anregungen incitements 
Anrichten sideboards 
Anruf call 
Anrufer caller 
Ansaetze rudiments 
Ansammlung package 
Ansatz rudiment 
Ansaug- suction 
Anschein semblance 
Anscheine semblances 
Anschlagtafel billboard 
Anschlagtafeln billboards 
Anschluss alignment 
Anschrift address 
Ansehen credit 
Anspielung allusion 
Anspielungen allusions 
Anspruch claim 
Anspruchsteller claimant 
Ansprueche claims 
Anstand decency 
Ansteckung contagion 
Ansteckungen contagions 
Anstifter abettor 
Anstoesse impulses 
Anstoss impuls 
Anstrengung effort 
Anstrengungen efforts 
Anstuerme onrushes 
Ansturm onrush 
Anteil quota 
Antenne Antenna 
Antennen antennas 
Antipoden antipodes 
Antrieb impellent 
Antriebe incentives 
Antwort Answer 
Anwaelte lawyers 
Anwaerter aspirant 
Anwalt advocate 
Anweisung directive 
Anwender operator 
Anzahlung commission 
Anzeige display 
Anzeigen Indexes 
Anzug suit 
Apfel Apple 
Apfelmus applesauce 
Apfelsaft cider 
Apostroph apostrophe 
Apotheke pharmacy 
Apotheken pharmacies 
Appetit appetite 
Appetitanreger APPETIZER 
Aprikosen APRICOTS 
April April 
Arbeit chore 
Arbeiten workings 
Arbeiter jobber 
Arbeitskraefte manpower 
Arbeitslosigkeit inoccupation 
Arbeitsraum workspace 
Arbeitsunterbrechung layoff 
Arbeitsunterbrechungen layoffs 
Arbeitszimmer study 
Architektur architecture 
Arglist guile 
Argument argument 
Argumente arguments 
Arm arm 
Armbaender bracelets 
Armband BRACELET 
Arme arms 
Armut poorness 
Art fashion 
Arten kinds 
Artikel article 
Artischocken ARTICHOKES 
Arzt doctor 
As ace 
Asche ash 
Aschenbecher ash-tray 
Aschenputtel cinderella 
Aspekt ASPECT 
Ast BOUGH 
Atem breath 
Atlanten atlases 
Atlas Atlas 
Atom atom 
Attraktion attraction 
Attribut attribute 
Attribute Attributes 
Aufbruch decampment 
Aufenthalt sojourn 
Aufenthalte sojourns 
Aufgabe abandonment 
Aufgaben jobs 
Aufgebot banns 
Aufhaenger hanger 
Aufhaengung suspension 
Aufhebung rescission 
Aufhebungen rescissions 
Aufkleber STICKERS 
Auflister Lister 
Aufloesung Resolution 
Aufloesungen dissolutions 
Aufmerksamkeit attention 
Aufnahme absorbtion 
Aufnahmefaehigkeit capacitance 
Aufnahmen receptions 
Aufnehmen grabbing 
Aufregung commotion 
Aufregungen commotions 
Aufrichtigkeit candor 
Aufrichtigkeiten sincerities 
Aufruestung rearmament 
Aufruf calling 
Aufrufe invocations 
Aufruhr sedition 
Aufschlaege lapels 
Aufschlag lapel 
Aufschrei outcry 
Aufschreie outcries 
Aufschub adjurnment 
Aufschuebe adjurnments 
Aufschwuenge booms 
Aufseher checker 
Aufsicht checkers 
Aufstaende insurrections 
Aufstand insurrection 
Aufsteigen ascension 
Aufstellungsort site 
Aufstieg ascent 
Aufstiege ascents 
Auftraege commissions 
Auftrag order 
Auftrieb boost 
Aufwand effort 
Aufzeichnung chronicle 
Aufzeichnungen Records 
Aufzuege elevators 
Aufzug elevator 
Augapfel eyeball 
Auge eye 
Augen eyes 
Augen- ocular 
Augenaerzte oculists 
Augenarzt oculist 
Augenblick jiffy 
Augenblicke jiffies 
Augenbraue eyebrow 
Augenbrauen eyebrows 
Augenlid eyelid 
Augenlider eyelids 
August August 
Ausarbeitung elaboration 
Ausarbeitungen elaborations 
Ausbesserung repair 
Ausbildung schooling 
Ausblick outlook 
Ausblicke outlooks 
Ausbruch eruption 
Ausbrueche eruptions 
Ausdauer endurance 
Ausdehnung expanse 
Ausdehnungen expanses 
Ausdruck expression 
Ausdrucksweise idiom 
Ausdrucksweisen parlances 
Ausdruecke expressions 
Ausfall blackout 
Ausfluege excursions 
Ausfluegler tripper 
Ausfluesse effluences 
Ausflug jaunt 
Ausfluss effluence 
Ausfuehrung achievement 
Ausfuehrungen achievements 
Ausfuhr export 
Ausgabe issuance 
Ausgaben dumps 
Ausgabename outputname 
Ausgaenge egresses 
Ausgang egress 
Ausgebend displaying 
Ausgestossene outcasts 
Ausgleich compensation 
Auskunft information 
Auslaeufer offshoot 
Auslass outlet 
Auslassungen interleaves 
Auslegung interpretation 
Auslieferung delivery 
Ausloeser trigger 
Ausnahme exception 
Ausnahmen exceptions 
Auspuff exhaust 
Auspufftopf silencer 
Ausreisser bolter 
Ausruestung equipment 
Ausruestungen kits 
Ausruf exclamation 
Ausrufe interjections 
Ausschluesse exclusions 
Ausschluss EXCLUSION 
Ausschuss committee 
Aussehen lookout 
Aussen- outer 
Aussenbezirke outskirts 
Aussenseiter outsider 
Aussetzer dropout 
Aussetzung exposure 
Aussparung recess 
Aussperrung lockout 
Aussperrungen lockouts 
Aussprache pronunciation 
Aussprachen pronunciations 
Ausstattung configuration 
Ausstattungen endowments 
Ausstellung exhibition 
Ausstellungen exhibitions 
Ausstoss ejection 
Ausstrahlung Radiation 
Ausstrahlungen radiations 
Austausch interchange 
Auster oyster 
Austern OYSTERS 
Austrag discharge 
Ausuebung exertion 
Auswahl choice 
Auswahlen choices 
Auswanderer emigrant 
Auswanderung emigration 
Auswechselungen Exchanges 
Auswertung evaluation 
Auszubildende trainees 
Auszubildender trainee 
Auszuege epitomes 
Auszug epitome 
Auto car 
Autogramm autograph 
Autogramme autographs 
Automatik Automatic 
Automatikwahl autodial 
Automation AUTOMATION 
Autor author 
Autoren authors 
Autoritaet authority 
BAK BAK 
BAS BAS 
BASIC Basic 
BASICA basica 
BAT BAT 
BAUD baud 
BBS BBS 
BETA BETA 
BIGTOOL BIGTOOL 
BIT bit 
BITS bits 
Baby Baby 
Bach BROOK 
Bachstelze wagtail 
Bachstelzen wagtails 
Backe CHEEK 
Backen cheeks 
Backenbart whiskers 
Backenzaaehne molars 
Backenzahn molar 
Backfett shortening 
Backslash backslash 
Backspace backspace 
Backups backups 
Bad bath 
Bademantel bathrobe 
Badewanne bathtub 
Badezimmer bathroom 
Baeche rivulets 
Baecker baker 
Baeckerei bakery 
Baeckereien bakeries 
Baender ribbons 
Baer bear 
Baerte beards 
Baeuche bellies 
Baeuchlein tummies 
Baeume trees 
Bahn tram 
Bahnen trams 
Bahnhof station 
Bahnsteig platform 
Bahre bier 
Bahren biers 
Bakterie bacterium 
Bakterien bacteriums 
Baldrian valerian 
Balken beam 
Balkon balcony 
Balkone balconies 
Ball ball 
Ballast ballast 
Ballen bales 
Ballon balloon 
Ballsaal ballroom 
Balsam balm 
Bambus bamboo 
Banane banana 
Bananen BANANAS 
Band ribbon 
Bande gang 
Banden gangs 
Bandwuermer tapeworms 
Bandwurm tapeworm 
Bank bank 
Bankier banker 
Bankiers bankers 
Banner BANNER 
Bargeld hardcash 
Barren ingot 
Barriere barrage 
Bart beard 
Basis base 
Batch batch 
Batterie battery 
Bauch- ventral 
Bauchredner ventriloquist 
Baudrate baudrate 
Bauer boor 
Bauern peasants 
Bauernhof farm 
Baugeruest scaffolding 
Baugruppe assembly 
Baum Tree 
Baumwolle cotton 
Bausatz kit 
Bausch wad 
Bauteil component 
Bauweise construction 
Beachtung heed 
Beamte officials 
Beanspruchung stress 
Becher beaker 
Becken basin 
Bedachung roofing 
Bedachungen roofings 
Bedarf demand 
Bedauern regret 
Bedeutung Meaning 
Bedeutungen meanings 
Bediener operators 
Bedienung handling 
Bedienungselement control 
Bedienungsfeld console 
Bedingung condition 
Bedingungen conditions 
Beeintraechtigungen derogations 
Beendigung determining 
Beep Beep 
Beepen beeping 
Beerdigung burial 
Beerdigungen interments 
Beere berry 
Beeren berries 
Befaehigung qualification 
Befaehigungen qualifications 
Befehl comand 
Befehle Comands 
Befehlsempfaenger heeler 
Befestigung attachment 
Befestigungen attachments 
Befoerderung preferment 
Befoerderungen preferments 
Befragen Consult 
Befreier deliverer 
Befreiung deliverance 
Befreiungen liberations 
Befriedigung satisfaction 
Befuerchtung misgiving 
Befuerchtungen misgivings 
Begabungen talents 
Begegnung encounter 
Begeisterung rapture 
Begeisterungen raptures 
Begierde cupidity 
Begierden lusts 
Beginn beginning 
Begleiter tutor 
Begleitung attendance 
Begraebnis funeral 
Begraebnisse burials 
Begrenzer delimiter 
Begrenzungen limitations 
Begriff item 
Begriffe items 
Behaelter container 
Behandler handlers 
Behandlung therapy 
Behandlungen therapies 
Beharrlichkeit insistence 
Behauptung allegation 
Behauptungen allegations 
Beherrschung governing 
Behinderung handicap 
Behinderungen handicaps 
Behoerde authorities 
Beifall acclamation 
Beifuegung addendum 
Beifuegungen additions 
Beil hatchet 
Beilage enclosure 
Beile hatchets 
Beileid condolence 
Bein leg 
Beine legs 
Beispiel example 
Beispiele examples 
Beistand assistance 
Beitraege contributions 
Beitrag contribution 
Bekanntmachung proclamation 
Bekanntmachungen proclamations 
Bekanntschaft acquaintance 
Bekanntschaften acquaintances 
Bekenntnis CONFESSION 
Bekenntnisse avowals 
Bekraeftigung affirmation 
Bekraeftigungen affirmations 
Belaestigung inconvenience 
Belag facing 
Belastung encumbrance 
Beleg voucher 
Belege vouchers 
Belegung occupancy 
Beleidigung indignity 
Beleidigungen indignities 
Beleuchtung illumination 
Beleuchtungen lightings 
Beliebtheiten vogues 
Belohnung reward 
Belohnungen rewards 
Belustigung merriment 
Belustigungen merriments 
Bemerkung remark 
Bemuehung endevour 
Benchmark-Tests BENCHMARKS 
Benehmen BEHAVIOUR 
Benennung naming 
Bengel urchin 
Benzin benzine 
Beobachtung observation 
Beobachtungen observations 
Beratung consultation 
Beratungen consultations 
Berechnung calculation 
Berechnungen calculations 
Beredsamkeit eloquence 
Bereich range 
Bereitschaft readiness 
Berg mount 
Berge mountains 
Bergleute colliers 
Bergmann collier 
Bergwerk COLLIERY 
Bericht bulletin 
Berichterstatter reporter 
Berichterstattung coverage 
Berieselungsanlage sprinkler 
Berieselungsanlagen sprinklers 
Beruehmtheit celebrity 
Beruehmtheiten celebrities 
Beruehrung touch 
Berufung vocation 
Berufungen vocations 
Beruhigung pacification 
Beruhigungsmittel sedatives 
Besatzung garrison 
Besatzungen garrisons 
Beschaedigung injury 
Beschaeftigte employees 
Beschaeftigung employ 
Beschaeftigungen employments 
Beschaffenheit habit 
Beschauer Viewers 
Bescheidenheit humility 
Bescheidenheiten modesties 
Bescheinigung certification 
Bescheinigungen certifications 
Beschimpfungen wiggings 
Beschleuniger accelerator 
Beschleunigung acceleration 
Beschraenktheit narrowness 
Beschraenktheiten narrownesses 
Beschreibung description 
Beschreibungen Descriptions 
Beschriftung lettering 
Beschriftungen letterings 
Beschuetzer guardian 
Beschuldigung imputation 
Beschuldigungen imputations 
Beschwerde complaint 
Beschwerden grievances 
Beseitigung elimination 
Besen besom 
Besenstiel broomstick 
Besenstiele broomsticks 
Besessenheit obsession 
Besessenheiten obsessions 
Besetzer occupant 
Besetzung allocation 
Besetzungen occupations 
Besichtigung sightseeing 
Besichtigungen sightseeings 
Besitz possession 
Besitze tenures 
Besitzer OWNERS 
Besonderheit particularity 
Besorgnis solicitude 
Bestaendigkeit constancy 
Bestaetigung confirmation 
Bestandteil ingredient 
Bestandteile ingredients 
Bestatter mortician 
Bestattungsinstitut undertaker 
Bestattungsinstitute undertakers 
Bestechung BRIBERY 
Bestechungen corruptions 
Bestellungen tillages 
Besteuerung taxation 
Besteuerungen taxations 
Bestie beast 
Bestimmung appointment 
Bestimmungen appointments 
Bestuerzung consternation 
Bestuerzungen consternations 
Besuch visit 
Besuche visitations 
Besucher visitor 
Betaeubungsmittel narcotics 
Beton concrete 
Betrachter viewer 
Betrachtung inspection 
Betrachtungen considerations 
Betraege amounts 
Betrag amount 
Betreiber carrier 
Betrieb deadausser 
Betriebs operating 
Betriebssicherheit reliability 
Betrueger blackleg 
Betruegerei trickery 
Betruegereien frauds 
Betrug deceit 
Bett bed 
Bettdecke blanket 
Betten beds 
Bettler beggar 
Bettstelle bedstead 
Bettstellen bedsteads 
Beute BOOTY 
Bevoelkerung population 
Bevollmaechtigter attorney 
Bewachung custody 
Bewachungen custodies 
Beweggrund Motivation 
Beweglichkeit flexibilty 
Bewegung motion 
Bewegungen locomotions 
Bewerber candidate 
Bewertung valuation 
Bewohner inhabitant 
Bewunderung admiration 
Bezahlung contributation 
Bezauberung enchantment 
Bezeichnung notation 
Bezeichnungen notations 
Beziehung relation 
Beziehungen relations 
Bezirk borough 
Bezirke cantons 
Bezug reference 
Bibel bible 
Biber beaver 
Bibliographie bibliography 
Bibliothek library 
Bibliothekar librarian 
Bibliothekare librarians 
Biegsamkeit pliancy 
Biegung inflexion 
Biegungen bends 
Biene bee 
Bienen bees 
Bienenkoerbe beehives 
Bienenstock beehive 
Bier beer 
Biere beers 
Bild picture 
Bilder images 
Bildhauer sculptor 
Bildschirm screen 
Bildschirm- onscreen 
Bildschirme screens 
Bildung formations 
Billigung approval 
Billigungen approvals 
Billion billion 
Binaer binary 
Binde ligature 
Binden bandages 
Bindestiche hyphens 
Bindestrich hyphen 
Bindestriche dashes 
Bindfaden packthread 
Bindfaeden packthreads 
Binnenland midland 
Binsenwahrheit truism 
Binsenwahrheiten truisms 
Birke birch 
Birken birches 
Birne pear 
Birnen PEARS 
Bisam musquash 
Bisamratten musquashes 
Bischof bishop 
Biss bite 
Bissen morsel 
Bitmodus bitmode 
Bitte Please 
Bitten petitions 
Bittsteller applicant 
Blaeschen bleb 
Blaesse paleness 
Blaetter blades 
Blase bladder 
Blasen bladders 
Blatt leaf 
Blaumeise nun 
Blaumeisen nuns 
Blei lead 
Bleistift pencil 
Blick look 
Blickwinkel perspective 
Blindschleiche blindworm 
Blindschleichen blindworms 
Blitz flash 
Block block 
Blockade blockade 
Blockierung deadlock 
Bloecke blocks 
Bluete bloom 
Blueten blooms 
Blume flower 
Blumen flowers 
Blumenhaendler florist 
Blumenkohl CAULIFLOWER 
Blumenstraeusse nosegays 
Blumenstrauss bouquet 
Bluse blouse 
Blusen blouses 
Blut blood 
Blutbad massacre 
Blutbaeder massacres 
Bluterguss bruise 
Blutschande incest 
Blutvergiessen bloodshed 
Blutvergiftung sepsis 
Bock buck 
Boden floor 
Boeden bottoms 
Boee blast 
Boeen blasts 
Boegen bows 
Boersenmakler stockbrokers 
Boeswilligkeit malevolence 
Boeswilligkeiten malevolences 
Bogen arch 
Bohne bean 
Bohnen beans 
Bohrer auger 
Boje buoy 
Bolzen bolts 
Bombe bomb 
Bomben bombs 
Bonbon goody 
Bonbons sweetmeats 
Boot boat 
Bootfahrt boating 
Bordell brothel 
Bordelle brothels 
Bosheit malice 
Bosheiten malices 
Bote messenger 
Boten messengers 
Botschaft embassy 
Botschaften embassies 
Boutique millinery 
Boutiquen millineries 
Box box 
Boxen boxes 
Braeuche observances 
Braeutigam bridegroom 
Braeutigamme bridegrooms 
Brandstifter firebug 
Brandung surf 
Braten roast 
Bratensosse gravy 
Bratfett dripping 
Bratsche viola 
Brauch rite 
Braue brow 
Brauen brows 
Braut bride 
Braut- bridal 
Brechung refraction 
Brei pap 
Breie mushes 
Breite BREADTH 
Breiten Latitudes 
Bremse brake 
Brenner burner 
Brennholz firewood 
Brennstoff fuel 
Brett plank 
Bretter planks 
Brief letter 
Briefkaesten mailboxes 
Briefkasten letter-box 
Briefkoepfe letterheads 
Briefkopf letterhead 
Briefmarke stamp 
Brieftasche billfold 
Brieftaschen billfolds 
Brieftraeger mailman 
Briefumschlag envelope 
Brille glasses 
Brisen breezes 
Brocken boulder 
Broetchen bun 
Brokat brocade 
Brombeerstrauch bramble 
Brosche BROOCH 
Broschuere booklet 
Brot bread 
Brote LOAVES 
Bruch fracture 
Bruchstueck fragment 
Bruchstuecke fragments 
Bruchteile fractions 
Bruder brother 
Brueche breaches 
Bruecke bridge 
Bruecken bridges 
Brueder BROTHERS 
Bruederschaft BROTHERHOOD 
Brueste BREASTS 
Brummbaer growler 
Brunnen fountain 
Brunnenkresse watercress 
Brust breast 
Brustwarze nipple 
Brustwarzen nipples 
Brut spawn 
Brutalitaet brutality 
Buch book 
Buche beech 
Buchen beaches 
Buchname bookname 
Buchse FEMALE 
Buchseite page 
Buchstabe letter 
Buchstaben letters 
Bucht bay 
Buchtitel booknames 
Buchung posting 
Buckliger hunchback 
Bude booth 
Buden boothes 
Buecher books 
Buecherregal bookcase 
Buechse box 
Buechsen cans 
Buechsen- canned 
Buecklinge KIPPERS 
Bueffel buffalo 
Buehne stage 
Buendel bale 
Buendnis alliance 
Buendnisse confederacies 
Buerge guarantor 
Buerger CITIZEN 
Buergermeister mayor 
Buergerschaft township 
Buergersteig pavement 
Buergersteige sidewalks 
Buergerwehr militia 
Buero bureau 
Bueroklammer paperclip 
Bueroklammern paperclips 
Bueros bureaus 
Buerste brush 
Buesche bushes 
Bueschel tuft 
Bueste bust 
Buestenhalter brassiere 
Bulldogge bulldog 
Bulldoggen bulldogs 
Bummelstreik go-slow 
Bummler loafer 
Bund collar 
Bunde trusses 
Bunker bunker 
Bursche CHAP 
Bus bus 
Busch bush 
Busen bosom 
Busleitung highway 
Bussard buzzard 
Bussarde buzzards 
Busse penance 
Bussen penances 
Butter butter 
Butterbrot sandwich 
Butterbrote sandwiches 
Byte byte 
Bytes bytes 
CAPS Caps 
CLS cls 
CTRL ctrl 
Camera camera 
Cassette cassette 
Champignon mushroom 
Champignons mushrooms 
Chancen odds 
Checksumme checksum 
Checksummen checksums 
Chef boss 
Chemie chemistry 
China CHINA 
Chinin quinine 
Chip chip 
Chips chips 
Chirurg surgeon 
Chirurgen surgeons 
Chirurgie surgery 
Choere choirs 
Chor choir 
Chrom chromium 
Chroniken chronicles 
Clone clone 
Clones clones 
Club Club 
Cluster cluster 
Code code 
Codes codes 
Codewoerter codewords 
Codierung encoding 
Compiler compiler 
Compilierung compilation 
Computer Computer 
Copyright Copyright 
Coupon coupon 
Coups coups 
Crash crash 
Cursor cursor 
DEFINITIONEN DEFINITIONS 
DOS DOS 
Dach housetop 
Dachdecker tiler 
Dachkammer garret 
Dachs badger 
Dachsparren rafter 
Dachstube garret 
Dachwohnung penthouse 
Dachwohnungen penthouses 
Dachzimmer garrets 
Daecher roofs 
Daemme embankments 
Daemmerung dawn 
Daemmerungen twilights 
Daempfe vapors 
Daempfer damper 
Daerme guts 
Dame dame 
Damen dames 
Damm embankment 
Dampf steam 
Dampfer damper 
Dank thank 
Dankbarkeit gratitude 
Danke Thanx 
Danksagung thanksgiving 
Danksagungen thanksgivings 
Darbietungen presentations 
Darlehensgeber lender 
Darm bowel 
Darstellungen maps 
Datei database 
Dateien databases 
Dateikopf header 
Daten data 
Datenfile datafile 
Datum date 
Dauer duration 
Dauer- continuous 
Daumen thumbs 
Debugger debugger 
Dechiffrierung DECIPHERING 
Decke blanket 
Deckel lid 
Decken blankets 
Decoder Decoder 
Decodierer decrypter 
Definition definition 
Dehngefaess bellows 
Deich dike 
Deiche dikes 
Dekodierung decoding 
Dekorateur upholsterer 
Dekorateure upholsterers 
Delirien ravings 
Demo demo 
Demonstration demonstration 
Demonstrationen demonstrations 
Demos demos 
Demut humbleness 
Denkmaeler memorials 
Denkmal memorial 
Denkschrift memoir 
Denkschriften memoirs 
Denunziant informer 
Denunzianten informers 
Designer designer 
Detail detail 
Detektiv detective 
Deutschland Germany 
Dezember December 
Diaet DIET 
Diagnose diagnose 
Diagonale DIAGONALS 
Diagramm DIAGRAM 
Dialekte idioms 
Dialog dialog 
Dichte densities 
Dichter poet 
Dichterin poetess 
Dichterinnen poetesses 
Dichtkuenste poetries 
Dichtkunst poetry 
Dichtungen fictions 
Dichtungsmittel sealant 
Dicke fatness 
Dickicht thicket 
Dickichte thickets 
Dieb burglar 
Diebe thieves 
Diebstaehle thefts 
Diener Slave 
Dienst service 
Dienstag Tuesday 
Dienste Services 
Dienstprogramm utility 
Diese These 
Dieses This 
Dietrich picklock 
Diffusor diffusor 
Diktat dictation 
Dimension dimension 
Dimensionen dimensions 
Ding thing 
Dinge doings 
Dip DIP 
Dipol dipole 
Directories directories 
Directory directory 
Direktiven directives 
Direktor headmaster 
Direktoren headmasters 
Dirnen prostitutes 
Diskette discette 
Disketten diskettes 
Diskrepanzen discrepancies 
Diskussion discussion 
Diskussionen discussions 
Distel thistle 
Disteln thistles 
Division division 
Docht wick 
Dochte wicks 
Doerfer cottages 
Dogge mastiff 
Doggen mastiffs 
Dohle daw 
Dohlen daws 
Doktoren doctors 
Dokument document 
Dokumentation Documentation 
Dokumente documents 
Dolch dagger 
Dolche daggers 
Dolde umbel 
Dolden umbels 
Dollar dollar 
Dollars dollars 
Dom cathedral 
Domain domain 
Dome cathedrals 
Donner thunder 
Donnerschlaege thunderclaps 
Donnerschlag thunderclap 
Donnerstag Thursday 
Donnerstage thursdays 
Doppelanschlag doublestrike 
Doppelpunkt colon 
Doppelzentner quintal 
Dorf cottage 
Dorfbewohner villager 
Dorn thorn 
Dornen thorns 
Dort There 
Dose tin 
Dosen tins 
Dosierungen dosages 
Dots dots 
Dotter yolk 
Drachen DRAGON 
Draehte wires 
Draht wire 
Draufgaenger dare-devil 
Drechsler turner 
Drehbuch scenario 
Drehbuecher scenarios 
Drehkreuz turnstile 
Drehkreuze turnstiles 
Drehmoment torque 
Drehmoment- torsional 
Drehpunkt fulcrum 
Drehzahl speed 
Drehzahlerhoehung speed-up 
Drehzahlmesser tachometer 
Drehzahlverminderung slow-down 
Dreiecke triangles 
Dreifuss tripod 
Dreirad tricycle 
Dreiraeder tricycles 
Dreizack trident 
Drescher thresher 
Droge drug 
Drogen drugs 
Drohung threat 
Drohungen threats 
Drossel throstle 
Drosseln bluebirds 
Druck pressure 
Druckausgaben printouts 
Drucke printings 
Drucker lineprinter 
Druckfehler errata 
Druckkopf printhead 
Druckregler pressurestat 
Druckschrift blockletters 
Drueckeberger quitter 
Druecken Hitting 
Druese gland 
Druesen glands 
Dschungel jungle 
Dschunken junks 
Dudelsack bagpipe 
Dudelsaecke bagpipes 
Duebel dowel 
Duene dune 
Duenen dunes 
Duenger manure 
Duerre drought 
Duese nozzle 
Duesen nozzles 
Duft perfume 
Dummheit dullness 
Dummheiten fooleries 
Dummkopf dunce 
Dunkelheit Darkness 
Dunkelheiten obscurities 
Dunst haze 
Durchblick vista 
Durchblicke vistas 
Durchbruch breakthrough 
Durcheinander Jumble 
Durchfuehrbarkeit feasibility 
Durchgaenge gangways 
Durchgang thoroughfar 
Durchlauf pass 
Durchsatz Performance 
Durchschnitt average 
Durchschnitte Averages 
Durchsetzung enforcement 
Durchsicht perusal 
Durchsichten perusals 
Durchweg Throughout 
Durst thirst 
Dusche shower 
Dutzend dozen 
ERRORLEVEL ERRORLEVEL 
ESC ESC 
Ebene layer 
Ebenheit evenness 
Eber boar 
Echo echo 
Ecke corner 
Ecken corners 
Edelstein jewel 
Efeu ivy 
Effekte effects 
Ehe matrimony 
Ehebrecher adulterer 
Ehebrecherin adulteress 
Ehemann husband 
Ehen matrimonies 
Ehestifter matchmaker 
Ehre honesty 
Ehren honors 
Ehrerbietung obeisance 
Ehrerbietungen obeisances 
Ehrgeiz ambition 
Ei egg 
Eiche oak 
Eichel acorn 
Eicheln acorns 
Eichen oaks 
Eichhoernchen squirrel 
Eid oath 
Eide oaths 
Eidechse lizard 
Eidechsen lizards 
Eidotter yolk 
Eier eggs 
Eifer alacrity 
Eifersucht jealousy 
Eigenheit peculiarity 
Eigenheiten PECULIARITIES 
Eigentum ownership 
Eimer bucket 
